name,country,rank,ranking_band,competitiveness,avg_tuition_usd
University of Oxford,United Kingdom,1,Top 50,HIGH,30000
Massachusetts Institute of Technology,United States,2,Top 50,HIGH,40000
Princeton University,United States,3,Top 50,HIGH,40000
University of Cambridge,United Kingdom,4,Top 50,HIGH,30000
Stanford University,United States,5,Top 50,HIGH,40000
Harvard University,United States,6,Top 50,HIGH,40000
California Institute of Technology,United States,7,Top 50,HIGH,40000
Imperial College London,United Kingdom,8,Top 50,HIGH,30000
"University of California, Berkeley",United States,9,Top 50,HIGH,40000
Yale University,United States,10,Top 50,HIGH,40000
ETH Zurich,Switzerland,11,Top 50,HIGH,20000
Tsinghua University,China,12,Top 50,HIGH,20000
Peking University,China,13,Top 50,HIGH,20000
University of Pennsylvania,United States,14,Top 50,HIGH,40000
The University of Chicago,United States,15,Top 50,HIGH,40000
Johns Hopkins University,United States,16,Top 50,HIGH,40000
National University of Singapore,Singapore,17,Top 50,HIGH,20000
"University of California, Los Angeles",United States,18,Top 50,HIGH,40000
Cornell University,United States,19,Top 50,HIGH,40000
Columbia University,United States,20,Top 50,HIGH,40000
University of Toronto,Canada,21,Top 50,HIGH,25000
UCL,United Kingdom,22,Top 50,HIGH,30000
University of Michigan-Ann Arbor,United States,23,Top 50,HIGH,40000
Carnegie Mellon University,United States,24,Top 50,HIGH,40000
University of Washington,United States,25,Top 50,HIGH,40000
The University of Tokyo,Japan,26,Top 50,HIGH,20000
Technical University of Munich,Germany,27,Top 50,HIGH,2000
Duke University,United States,28,Top 50,HIGH,40000
University of Edinburgh,United Kingdom,29,Top 50,HIGH,30000
Northwestern University,United States,30,Top 50,HIGH,40000
"Nanyang Technological University, Singapore",Singapore,31,Top 50,HIGH,20000
New York University,United States,32,Top 50,HIGH,40000
University of Hong Kong,Hong Kong,33,Top 50,HIGH,20000
LMU Munich,Germany,34,Top 50,HIGH,2000
École Polytechnique Fédérale de Lausanne,Switzerland,35,Top 50,HIGH,20000
Fudan University,China,36,Top 50,HIGH,20000
University of Melbourne,Australia,37,Top 50,HIGH,28000
